district,wealth_index,mother_edu_level,mother_age,mother_edu_years,mother_bmi,mother_works,female_headed_hh,child_age_months,child_sex,birth_interval,birth_weight,breastfeed_duration,currently_breastfeed,bcg_vaccination,dpt_vaccination,measles_vaccination,knows_ors,stunting_rate,wasting_rate,underweight_rate,state,sample_size
1,2.928792569659443,1.6284829721362228,30.29721362229102,7.8730650154798765,2429.7672955974845,0.12244897959183673,1.0278637770897834,28.338658146964857,1.4953560371517027,1.9808306709265175,747.1578947368421,71.47826086956522,3485.684210526316,1.010752688172043,0.967741935483871,1.2688172043010753,,23.219814241486066,21.671826625387,25.077399380804955,1,300
2,3.332167832167832,1.5314685314685315,30.56993006993007,7.496503496503497,2394.2932862190814,0.26666666666666666,1.027972027972028,32.45907473309609,1.437062937062937,2.265017667844523,699.1608391608391,77.53386454183267,3532.377622377622,1.0342465753424657,0.9452054794520548,1.3356164383561644,,24.475524475524477,16.783216783216783,20.27972027972028,1,267
3,3.4612403100775193,1.686046511627907,32.41085271317829,8.10077519379845,2410.1294117647058,0.42857142857142855,1.1085271317829457,29.211155378486055,1.4806201550387597,2.051792828685259,689.7054263565891,73.36213991769547,3256.170542635659,1.048951048951049,0.951048951048951,1.5734265734265733,,21.31782945736434,14.34108527131783,17.441860465116278,37,229
4,2.3874538745387452,1.6125461254612545,30.428044280442805,7.845018450184502,2469.6051660516605,0.2,1.033210332103321,30.011363636363637,1.5682656826568266,2.1358490566037736,574.4464944649446,76.29045643153528,3429.269372693727,1.114864864864865,1.0067567567567568,1.4256756756756757,,33.94833948339483,16.236162361623617,21.033210332103323,37,253
5,2.9558441558441557,1.594805194805195,29.40779220779221,7.641558441558441,2317.942408376963,0.26666666666666666,1.0571428571428572,31.28918918918919,1.5298701298701298,2.2398921832884096,647.974025974026,70.29113924050633,3688.3792207792208,1.067357512953368,0.9948186528497409,1.3678756476683938,,24.415584415584416,14.805194805194805,18.181818181818183,1,361
6,2.9102167182662537,1.736842105263158,27.557275541795665,8.337461300309597,2361.5510835913315,0.42857142857142855,1.0247678018575852,30.232704402515722,1.4829721362229102,2.141509433962264,566.498452012384,75.81481481481481,3726.266253869969,1.0449438202247192,0.949438202247191,1.2078651685393258,,28.482972136222912,20.123839009287924,30.65015479876161,1,306
7,3.912087912087912,1.9615384615384615,29.104395604395606,9.983516483516484,2487.221590909091,0.1111111111111111,1.0384615384615385,26.293785310734464,1.510989010989011,1.7666666666666666,895.7362637362637,71.90566037735849,3378.2747252747254,1.050420168067227,0.9663865546218487,1.5546218487394958,,17.032967032967033,14.835164835164836,21.978021978021978,1,141
8,2.9508670520231215,1.346820809248555,30.51156069364162,6.395953757225434,2374.8982558139537,0.2777777777777778,1.023121387283237,28.46060606060606,1.4884393063583814,1.952662721893491,632.7630057803468,78.62244897959184,3619.8034682080925,1.1884057971014492,1.178743961352657,1.603864734299517,,20.520231213872833,16.184971098265898,16.184971098265898,1,311
9,2.7306397306397305,1.2693602693602695,30.91919191919192,5.98989898989899,2460.003448275862,0.19298245614035087,1.0505050505050506,30.67870036101083,1.5084175084175084,2.141868512110727,815.8585858585859,76.640625,3677.144781144781,1.1,1.0625,1.74375,,21.885521885521886,11.447811447811448,14.814814814814813,1,252
10,4.109704641350211,1.9240506329113924,30.974683544303797,9.742616033755274,2420.127659574468,0.15151515151515152,1.0253164556962024,29.205128205128204,1.4767932489451476,2.0,684.2995780590717,72.04347826086956,3704.7172995780593,1.1145038167938932,0.9694656488549618,1.4045801526717556,,29.535864978902953,16.455696202531644,15.18987341772152,1,216
11,3.0895953757225434,1.4017341040462428,30.3121387283237,6.754335260115607,2501.5497076023394,0.10909090909090909,1.0433526011560694,29.99702380952381,1.4450867052023122,2.0680473372781063,707.9884393063584,78.76948051948052,3467.341040462428,1.1237623762376239,1.0643564356435644,1.5297029702970297,,17.341040462427745,22.254335260115607,19.653179190751445,1,314
12,3.5736434108527133,1.6550387596899225,31.205426356589147,8.182170542635658,2551.1274900398407,0.07142857142857142,1.0155038759689923,32.273092369477915,1.4689922480620154,2.2749003984063747,873.937984496124,70.12017167381974,3165.3023255813955,1.0078125,0.9453125,1.453125,,19.767441860465116,12.015503875968992,18.6046511627907,1,230
13,3.4564315352697097,1.8215767634854771,30.66390041493776,8.966804979253112,2424.8813559322034,0.27906976744186046,1.004149377593361,33.27916666666667,1.5186721991701244,2.319502074688797,796.9460580912863,71.84615384615384,3268.414937759336,1.0866141732283465,1.0551181102362204,1.31496062992126,,21.16182572614108,28.63070539419087,32.780082987551864,1,230
14,3.276,1.384,31.424,6.992,2409.744939271255,0.025,1.016,30.912,1.544,2.172,694.784,77.72018348623853,3255.376,1.037037037037037,0.9333333333333333,1.614814814814815,,25.2,21.2,26.8,1,231
15,2.6875,1.4340277777777777,31.05902777777778,6.996527777777778,2458.696750902527,0.0625,1.0347222222222223,28.76595744680851,1.5243055555555556,1.9151943462897527,961.59375,80.11196911196912,3201.0138888888887,1.0604395604395604,1.065934065934066,1.5,,24.65277777777778,9.722222222222223,14.23611111111111,1,250
16,2.6105610561056105,1.4224422442244224,28.346534653465348,7.204620462046204,2375.712837837838,0.14893617021276595,1.023102310231023,30.033557046979865,1.4884488448844884,2.097315436241611,789.5148514851485,75.06938775510204,4001.029702970297,1.0685714285714285,0.96,0.9828571428571429,,29.7029702970297,8.58085808580858,14.19141914191419,1,277
17,2.4059139784946235,1.196236559139785,29.63978494623656,5.564516129032258,2295.798387096774,0.3230769230769231,1.0725806451612903,29.151761517615178,1.4919354838709677,2.08355795148248,572.6639784946236,76.33227848101266,3644.8548387096776,0.9953917050691244,0.8986175115207373,1.4838709677419355,,23.118279569892472,13.709677419354838,19.623655913978492,1,358
18,2.610655737704918,1.6557377049180328,28.860655737704917,8.188524590163935,2385.9793388429753,0.1111111111111111,1.0532786885245902,30.450413223140497,1.5122950819672132,2.12396694214876,656.5204918032787,77.61990950226244,3873.311475409836,0.9624060150375939,0.8421052631578947,1.4586466165413534,,25.0,19.672131147540984,16.39344262295082,1,227
19,3.025,1.675,28.071428571428573,8.146428571428572,2392.6872727272726,0.30952380952380953,1.0571428571428572,29.98901098901099,1.5035714285714286,2.116788321167883,732.3928571428571,77.59919028340082,3784.3928571428573,0.98125,0.9125,1.46875,,32.5,18.928571428571427,31.071428571428573,1,248
